Rain [mm/h];Snow [mm/h]
0.0;0.796785046728972
0.005689792219626157;0.2931046003037383
0.07622518848130845;0.620961727406542
0.12126122228971961;0.4763275627570094
0.34082707388429745;1.053619207107438
0.5499992452066115;1.7408767878512397
0.26932733884297516;1.0255156363636364
0.15215998611570247;0.6446664601652893
0.034122598512396685;0.16508401305785125
0.043389441074380176;0.2554204762809917
0.0354336270247934;0.26337629033057847
0.058840154876033036;0.5387796798347108
0.05330544818181821;1.2415375270247933
0.0;0.4980165289256198
0.08273772702479341;0.6144854134710743
0.27769725363636366;0.8179391100000001
